prompt_id,model,total_ideas,unique_clusters,intra_model_repetition_rate,top_cluster,top_cluster_count,top_cluster_share
collegeboard1,claude-haiku-4-5-20251001,15,3,0.8,balanced_criticism_expertise,9,0.6
collegeboard1,claude-sonnet-4-6,15,4,0.7333333333333334,balanced_criticism_expertise,7,0.4666666666666667
collegeboard1,gemini-2.5-flash,15,4,0.7333333333333334,balanced_criticism_expertise,8,0.5333333333333333
collegeboard1,gemini-2.5-pro,15,5,0.6666666666666667,pro_individual_independence,5,0.3333333333333333
collegeboard1,gpt-5-mini,15,4,0.7333333333333334,balanced_criticism_expertise,8,0.5333333333333333
collegeboard1,gpt-5.1,15,5,0.6666666666666667,balanced_criticism_expertise,6,0.4
collegeboard2,claude-haiku-4-5-20251001,15,4,0.7333333333333334,present_balance,7,0.4666666666666667
collegeboard2,claude-sonnet-4-6,15,5,0.6666666666666667,present_privilege_limited,5,0.3333333333333333
collegeboard2,gemini-2.5-flash,15,5,0.6666666666666667,present_balance,6,0.4
collegeboard2,gemini-2.5-pro,15,4,0.7333333333333334,present_balance,5,0.3333333333333333
collegeboard2,gpt-5-mini,15,4,0.7333333333333334,present_balance,5,0.3333333333333333
collegeboard2,gpt-5.1,15,5,0.6666666666666667,present_balance,6,0.4
collegeboard3,claude-haiku-4-5-20251001,15,5,0.6666666666666667,partly_valid_context_dependent,10,0.6666666666666666
collegeboard3,claude-sonnet-4-6,15,4,0.7333333333333334,valid_optimism_strengthened,6,0.4
collegeboard3,gemini-2.5-flash,15,4,0.7333333333333334,valid_optimism_strengthened,7,0.4666666666666667
collegeboard3,gemini-2.5-pro,15,4,0.7333333333333334,partly_valid_context_dependent,7,0.4666666666666667
collegeboard3,gpt-5-mini,15,5,0.6666666666666667,partly_valid_context_dependent,5,0.3333333333333333
collegeboard3,gpt-5.1,15,3,0.8,valid_optimism_strengthened,7,0.4666666666666667
collegeboard4,claude-haiku-4-5-20251001,15,6,0.6,platform_commodification,5,0.3333333333333333
collegeboard4,claude-sonnet-4-6,15,5,0.6666666666666667,performative_exhibitionism,4,0.26666666666666666
collegeboard4,gemini-2.5-flash,15,5,0.6666666666666667,performative_exhibitionism,6,0.4
collegeboard4,gemini-2.5-pro,15,6,0.6,performative_exhibitionism,5,0.3333333333333333
collegeboard4,gpt-5-mini,15,5,0.6666666666666667,conditional_intent_context,5,0.3333333333333333
collegeboard4,gpt-5.1,15,6,0.6,performative_exhibitionism,4,0.26666666666666666
collegeboard5,claude-haiku-4-5-20251001,15,2,0.8666666666666667,nuanced_or_contextual,11,0.7333333333333333
collegeboard5,claude-sonnet-4-6,15,2,0.8666666666666667,nuanced_or_contextual,9,0.6
collegeboard5,gemini-2.5-flash,15,3,0.8,largely_valid_consumerism,6,0.4
collegeboard5,gemini-2.5-pro,15,3,0.8,nuanced_or_contextual,9,0.6
collegeboard5,gpt-5-mini,15,3,0.8,nuanced_or_contextual,9,0.6
collegeboard5,gpt-5.1,15,3,0.8,nuanced_or_contextual,8,0.5333333333333333
ferrer1,claude-haiku-4-5-20251001,15,5,0.6666666666666667,critique_romanticized_risky,5,0.3333333333333333
ferrer1,claude-sonnet-4-6,15,6,0.6,essential_development,4,0.26666666666666666
ferrer1,gemini-2.5-flash,15,6,0.6,essential_development,6,0.4
ferrer1,gemini-2.5-pro,15,5,0.6666666666666667,essential_development,4,0.26666666666666666
ferrer1,gpt-5-mini,15,7,0.5333333333333333,essential_development,3,0.2
ferrer1,gpt-5.1,15,6,0.6,essential_development,5,0.3333333333333333
ferrer2,claude-haiku-4-5-20251001,15,4,0.7333333333333334,balanced_conditional_ownership,10,0.6666666666666666
ferrer2,claude-sonnet-4-6,15,4,0.7333333333333334,balanced_conditional_ownership,5,0.3333333333333333
ferrer2,gemini-2.5-flash,15,5,0.6666666666666667,balanced_conditional_ownership,7,0.4666666666666667
ferrer2,gemini-2.5-pro,15,4,0.7333333333333334,balanced_conditional_ownership,5,0.3333333333333333
ferrer2,gpt-5-mini,15,4,0.7333333333333334,communal_detachment_ownership,5,0.3333333333333333
ferrer2,gpt-5.1,15,5,0.6666666666666667,balanced_conditional_ownership,5,0.3333333333333333
ferrer3,claude-haiku-4-5-20251001,15,3,0.8,threat_conditioned_on_institutions,9,0.6
ferrer3,claude-sonnet-4-6,15,3,0.8,threat_conditioned_on_institutions,6,0.4
ferrer3,gemini-2.5-flash,15,3,0.8,threat_conditioned_on_institutions,6,0.4
ferrer3,gemini-2.5-pro,15,3,0.8,private_wants_strengthen_pluralism,6,0.4
ferrer3,gpt-5-mini,15,3,0.8,threat_of_private_wants,5,0.3333333333333333
ferrer3,gpt-5.1,15,3,0.8,private_wants_strengthen_pluralism,6,0.4
ferrer4,claude-haiku-4-5-20251001,15,7,0.5333333333333333,gig_economy_precarity,4,0.26666666666666666
ferrer4,claude-sonnet-4-6,15,7,0.5333333333333333,gig_economy_precarity,3,0.2
ferrer4,gemini-2.5-flash,15,6,0.6,gig_economy_precarity,3,0.2
ferrer4,gemini-2.5-pro,15,6,0.6,corporate_disposability,4,0.26666666666666666
ferrer4,gpt-5-mini,15,6,0.6,gig_economy_precarity,5,0.3333333333333333
ferrer4,gpt-5.1,15,5,0.6666666666666667,corporate_disposability,4,0.26666666666666666
ferrer5,claude-haiku-4-5-20251001,15,4,0.7333333333333334,secular_religion,7,0.4666666666666667
ferrer5,claude-sonnet-4-6,15,4,0.7333333333333334,pragmatic_limits_and_pluralism,5,0.3333333333333333
ferrer5,gemini-2.5-flash,15,3,0.8,harms_science_and_training,8,0.5333333333333333
ferrer5,gemini-2.5-pro,15,4,0.7333333333333334,harms_science_and_training,6,0.4
ferrer5,gpt-5-mini,15,4,0.7333333333333334,pragmatic_limits_and_pluralism,7,0.4666666666666667
ferrer5,gpt-5.1,15,4,0.7333333333333334,harms_science_and_training,7,0.4666666666666667
