prompt_id,prompt_text
ferrer1,"According to developmental psychologist Erik Erikson, the main social task of the adolescent is the search for a unique identity - the ability to answer the question ""who am I?"" This has often been called the ""quest for independence,"" during which a teenager may engage in risky behaviors, experiment with self expression, seek peer and mentor relationships outside of the home system, and question the family values and cultural norms that were previously held as nonnegotiable truths. What may look like rebellion to parents is arguably a critical step in becoming an autonomous and self-aware human being. Write an argument in which you take a position on the value of the adolescent quest for independence."
ferrer2,"For centuries, prominent thinkers have pondered the relationship between ownership and the development of self (identity), ultimately asking the question, “What does it mean to own something?” Plato argues that owning objects is detrimental to a person’s character. Aristotle claims that ownership of tangible goods helps to develop moral character. Twentieth-century philosopher Jean-Paul Sartre proposes that ownership extends beyond objects to include intangible things as well. In Sartre’s view, becoming proficient in some skill and knowing something thoroughly means that we “own” it. Think about the differing views of ownership. Then write an essay in which you explain your position on the relationship between ownership and sense of self."
ferrer3,"The late barbara jordan, a former U.S. representative, once warned, ""[T]his is the great danger America faces-that we will cease to be one nation and become instead a collection of interest groups: city against suburb, region against region, individual against individual; each seeking to satisfy private wants."" Write an essay that argues your position on Jordan's claim that ""private wants"" theraten national identity."
ferrer4,"Write an argument within a specific rhetorical situation that explicates a current socio-economic problem. While you do not need to explicity refer to Aethur Miller's Death of a Salesman, your main idea and line of reasoning should make it apparent how you are situating one of Miller's major themes as ongoing, unresolved, or transformed in recent American history (2020+)."
ferrer5,"While scientific processes are interdependent with cultural constraints, economic incentives, political influence, and paradigmatic biases, practitioners believe that the work of sceience operates in a sort of divine realm detached from the human imagination. And as no method of knowing, including science itself, can prove science's supposed position as the singular basis of truth; and as the belief that the totality of reality can be apprehended by the human mind is an inherently spiritual claim about the nature of humans, the practiioners who cling to scientism ultimately embody something more like faith and superstition than rationality. Write an argument that analyyzes the moder allure of scientism and takes a position on the religious worship of scientific knowledge. While not required, in your response you may also consider how scientism impacts the training offuture scientists, the public discourse around scientific advancements, or some other consequence of dogmatic thinking."
collegeboard1,"In the 2009 keynote address for the Annual Biomedical Research Conference for Minority Students, physician, engineer, and former astronaut Mae Jemison—the first African American woman in space—stated: “Never be limited by other people’s limited imaginations. If you adopt their attitudes, then the possibility won’t exist because you’ll have already shut it out.... You can hear other people’s wisdom, but you’ve got to re-evaluate the world for yourself.” Write an essay that argues your position on the extent to which Jemison’s claim about considering others’ opinions is valid"
collegeboard2,"In a 2022 interview with People magazine promoting her program to empower young girls through sport, professional tennis player and mental health advocate Naomi Osaka said: “For me, the biggest lesson I’ve learned is to try to be present in each moment. It’s easy to lose sight of how far you’ve come, but I’ve been prioritizing trying to live in the moment and enjoy the journey.” Write an essay that argues your position on the extent to which Osaka’s claim about embracing the present moment is valid."
collegeboard3,"Amanda Gorman is the first National Youth Poet Laureate of the United States, an honor given to a young person for exceptional artistic expression, civic engagement, and social impact. In a 2021 interview in Time magazine, when asked how to maintain optimism1 in challenging times, Gorman stated: “Optimism shouldn’t be seen as opposed to pessimism,2 but in conversation with it. Your optimism will never be as powerful as it is in that exact moment when you want to give it up.” 1: a tendency to view things in a positive light 2: a tendency to view things in a negative light Write an essay that argues your position on the extent to which Gorman’s claim about the relationship between optimism and pessimism is valid."
collegeboard4,"In a 2013 New York Times article on the practice of taking selfies, writer, editor, and podcast host J Wortham wrote: “Rather than dismissing the trend as a side effect of digital culture or a sad form of exhibitionism, 1 maybe we’re better off seeing selfies for what they are at their best—a kind of visual diary, a way to mark our short existence and hold it up to others as proof that we were here.” Write an essay that argues your position on the extent to which Wortham’s claim about the value of documenting one’s life with selfies is valid."
collegeboard5,"In a 2019 interview, award-winning poet and memoirist Jimmy Santiago Baca asserted: “In America we value possessions. We would much rather talk about a new car than talk about a story that happened between grandfather and me. We’d much rather get on the computer and play video games and enact some cataclysmic1 epic 2 than to talk about the epics in our own lives.” Write an essay that argues your position on the extent to which Baca’s claim about the value of possessions is valid. 1 destructive on a large scale 2 a narrative or story of grand proportions In your response you should do the following: • Respond to the prompt with a thesis that presents a defensible position. • Provide evidence to support your line of reasoning. • Explain how the evidence supports your line of reasoning. • Use appropriate grammar and punctuation in communicating your argument."
